1.683	-3768.949
1.849	-3891.228
2.138	-3966.653
2.360	-3998.167
2.561	-3999.483
2.629	-4043.596
2.527	-4054.298
2.588	-4086.520
2.558	-4046.431
2.552	-4068.653
2.580	-4088.373
2.618	-4038.784
2.636	-4075.075
2.654	-4055.544
2.696	-4068.720
2.754	-4048.975
2.775	-4104.050
2.841	-4104.994
2.802	-4031.534
2.797	-4094.481
2.721	-4102.658
2.700	-4086.982
2.750	-4174.106
2.766	-4147.522
2.775	-4130.099
2.844	-4156.732
2.840	-4137.535
2.818	-4144.098
2.843	-4133.735
2.989	-4196.285
2.998	-4126.818
2.893	-4200.637
2.899	-4211.136
2.937	-4171.681
2.943	-4175.473
2.935	-4161.329
2.989	-4221.921
3.029	-4263.769
3.004	-4284.106
3.034	-4205.438
3.058	-4221.726
3.035	-4276.945
3.028	-4226.664
3.009	-4244.360
3.026	-4212.870
3.047	-4262.936
3.011	-4254.924
3.009	-4271.495
3.014	-4276.299
3.041	-4247.986
3.012	-4268.633
3.005	-4247.360
3.012	-4211.309
3.031	-4246.719
3.059	-4242.034
3.036	-4239.539
3.128	-4222.200
3.060	-4219.453
3.069	-4292.488
2.931	-4291.630
2.951	-4288.810
2.940	-4305.072
2.906	-4229.798
2.999	-4283.938
3.011	-4235.269
3.062	-4252.473
3.081	-4276.669
3.105	-4280.538
3.062	-4221.627
3.094	-4240.486
3.104	-4312.279
3.065	-4224.686
3.005	-4286.428
2.947	-4278.098
2.912	-4230.983
2.902	-4230.501
2.900	-4243.225
2.892	-4226.706
2.801	-4274.621
2.822	-4249.507
2.846	-4231.188
2.835	-4267.852
2.824	-4236.490
2.819	-4273.603
2.877	-4276.055
2.772	-4266.567
2.826	-4284.907
2.871	-4288.793
2.943	-4300.794
2.909	-4338.971
2.896	-4306.152
2.933	-4300.429
2.922	-4289.128
2.923	-4314.200
2.874	-4300.262
2.966	-4295.749
2.954	-4287.391
2.975	-4272.398
2.972	-4284.023
2.886	-4295.221
2.865	-4282.400
2.907	-4275.907
2.920	-4326.885
2.844	-4325.764
2.901	-4299.456
2.863	-4316.435
2.895	-4286.668
2.808	-4277.551
2.902	-4314.301
2.881	-4297.003
2.946	-4339.288
2.918	-4323.346
2.931	-4300.807
2.889	-4342.616
2.871	-4365.919
2.909	-4346.699
2.864	-4297.158
2.887	-4268.325
2.960	-4321.472
2.941	-4378.805
2.918	-4336.642
2.919	-4323.255
2.977	-4335.117
2.970	-4310.130
2.997	-4354.711
2.961	-4347.817
3.004	-4317.379
2.983	-4303.920
2.942	-4320.064
2.958	-4306.493
2.986	-4334.436
2.956	-4348.533
3.000	-4319.925
3.000	-4353.109
3.000	-4380.217
2.975	-4343.708
2.961	-4325.562
2.976	-4380.824
2.976	-4330.676
3.004	-4367.391
3.006	-4319.476
2.983	-4349.785
2.975	-4359.377
3.028	-4327.780
2.976	-4322.277
2.958	-4336.741
3.000	-4337.528
3.084	-4352.695
3.067	-4342.785
3.105	-4320.428
3.071	-4355.171
3.142	-4365.797
3.129	-4398.980
3.066	-4369.019
3.132	-4361.339
3.165	-4382.119
3.191	-4345.669
3.203	-4365.510
3.229	-4292.649
3.208	-4318.129
3.137	-4345.991
3.175	-4345.328
3.148	-4356.511
3.239	-4380.256
3.165	-4406.044
3.190	-4394.970
3.171	-4368.667
3.191	-4342.853
3.168	-4383.626
3.123	-4359.889
3.096	-4381.515
3.121	-4376.272
3.058	-4376.936
3.050	-4365.820
3.061	-4365.631
3.016	-4377.134
3.009	-4382.693
3.111	-4377.100
3.097	-4366.167
3.114	-4388.634
3.144	-4407.031
3.117	-4370.629
3.136	-4337.486
3.162	-4370.100
3.146	-4364.188
3.065	-4391.144
3.003	-4394.562
3.053	-4361.264
3.079	-4384.524
2.997	-4390.670
3.096	-4338.355
3.086	-4357.307
3.071	-4372.021
3.160	-4333.392
3.156	-4389.460
3.174	-4377.640
3.143	-4370.591
3.134	-4415.827
3.130	-4402.576
3.125	-4403.393
3.120	-4431.207
3.110	-4369.047
3.158	-4383.495
3.104	-4388.509
3.058	-4446.172
3.022	-4389.841
3.139	-4382.925
3.053	-4436.852
3.127	-4408.950
3.094	-4394.508
3.086	-4410.091
3.137	-4397.535
3.067	-4386.167
3.100	-4394.926
3.158	-4378.738
3.151	-4408.794
3.173	-4441.418
3.139	-4439.672
3.149	-4406.038
3.111	-4458.467
3.095	-4452.945
3.066	-4448.518
3.120	-4479.307
3.165	-4415.373
3.172	-4467.146
3.195	-4449.015
3.191	-4464.502
3.182	-4444.378
3.131	-4424.525
3.166	-4415.890
3.120	-4448.384
3.167	-4406.102
3.162	-4411.456
3.178	-4399.847
3.170	-4404.718
3.191	-4344.471
3.102	-4324.953
3.109	-4365.951
3.181	-4391.007
3.156	-4389.827
3.157	-4402.995
3.200	-4396.556
3.099	-4407.142
3.022	-4396.547
3.130	-4422.176
3.093	-4415.310
3.126	-4439.319
3.125	-4400.584
3.142	-4430.579
3.178	-4436.817
3.111	-4399.290
3.199	-4431.651
3.205	-4448.860
3.171	-4441.652
3.043	-4441.557
3.093	-4421.880
3.100	-4408.200
3.123	-4408.869
3.086	-4415.662
3.119	-4410.952
3.135	-4457.160
3.175	-4423.489
3.153	-4433.465
3.161	-4415.726
3.177	-4424.085
3.183	-4409.944
3.047	-4423.615
3.040	-4417.776
3.088	-4417.025
3.093	-4440.381
3.108	-4451.868
3.088	-4448.619
3.133	-4445.919
3.150	-4428.067
3.072	-4431.939
3.124	-4434.774
3.117	-4419.634
3.209	-4392.446
3.185	-4456.178
3.159	-4453.464
3.242	-4439.496
3.224	-4397.566
3.200	-4352.541
3.212	-4437.080
3.266	-4466.981
3.239	-4457.547
3.229	-4478.896
3.162	-4425.470
3.170	-4444.472
3.063	-4391.307
3.094	-4440.909
3.146	-4452.595
3.076	-4455.489
3.104	-4435.332
3.103	-4462.743
3.076	-4479.428
3.055	-4383.708
3.118	-4395.157
3.147	-4456.824
3.127	-4447.389
